H Table: (M=3.0,Z=0.03)

Isotopes	Yields
Rb-82		1.4906940E-99	
Rb-83		1.4906940E-99	
Rb-84		3.0696068E-26	
Rb-85		4.4373501E-08	
Rb-86		1.2002566E-43	
Rb-87		2.3710182E-08	
Rb-88		1.4906940E-99	
Rb-89		1.4906940E-99	
Rb-90		1.4906940E-99	
Rb-91		1.4906940E-99	
Sr-80		1.4906940E-99	
Sr-81		1.4906940E-99	
Sr-82		1.4906940E-99	
Sr-83		1.4906940E-99	
Sr-84		6.9818886E-10	
Sr-85		1.4906940E-99	
Sr-86		3.3785187E-08	
Sr-87		2.3446428E-08	
Sr-88		3.4822160E-07	
Sr-89		4.6364361E-49	
Sr-90		1.5338767E-11	
Sr-91		1.4906940E-99	
Sr-92		1.4906940E-99	
Sr-93		1.4906940E-99	
Sr-94		1.4906940E-99	
Y-85		1.4906940E-99	
Y-86		1.4906940E-99	
Y-87		1.4906940E-99	
Y-88		1.4906940E-99	
Y-89		9.4110971E-08	
Y-90		3.9021522E-15	
Y-91		1.4906940E-99	
Y-92		1.4906940E-99	
Y-93		1.4906940E-99	
Y-94		1.4906940E-99	
Y-95		1.4906940E-99	
Y-96		1.4906940E-99	
Zr-86		1.4906940E-99	
Zr-87		1.4906940E-99	
Zr-88		1.4906940E-99	
Zr-89		1.4906940E-99	
Zr-90		9.8315213E-08	
Zr-91		2.6176168E-08	
Zr-92		4.1017796E-08	
Zr-93		1.0734324E-08	
Zr-94		4.7605314E-08	
Zr-95		8.1043311E-46	
Zr-96		4.5564059E-09	
Zr-97		1.4906940E-99	
Zr-98		1.4906940E-99	
Nb-89		1.4906940E-99	
Nb-90		1.4906940E-99	
Nb-91		2.2263344E-26	
Nb-92		1.4906940E-99	
Nb-93		4.1256090E-09	
Nb-94		1.2693659E-13	
Nb-95		5.8944525E-51	
Nb-96		1.4906940E-99	
Nb-97		1.4906940E-99	
Nb-98		1.4906940E-99	
Nb-99		1.4906940E-99	
Mo-90		1.4906940E-99	
Mo-91		1.4906940E-99	
Mo-92		2.2015579E-09	
Mo-93		3.3680746E-12	
Mo-94		1.5052246E-09	
Mo-95		7.6376201E-09	
Mo-96		1.1379558E-08	
Mo-97		4.3526812E-09	
Mo-98		1.3539744E-08	
Mo-99		6.6749124E-97	
Mo-100		2.2069445E-09	
Mo-101		1.4906940E-99	
Mo-102		1.4906940E-99	
Tc-93		1.4906940E-99	
Tc-94		1.4906940E-99	
Tc-95		1.4906940E-99	
Tc-96		1.4906940E-99	
Tc-97		1.7758379E-13	
Tc-98		5.9586168E-14	
Tc-99		1.2859928E-09	
Tc-100		1.4906940E-99	
Tc-101		1.4906940E-99	
Tc-102		1.4906940E-99	
Tc-103		1.4906940E-99	
Tc-104		1.4906940E-99	
Tc-105		1.4906940E-99	
Ru-94		1.4906940E-99	
Ru-95		1.4906940E-99	
Ru-96		6.3329944E-10	
Ru-97		1.4906940E-99	
Ru-98		2.1914229E-10	
Ru-99		1.5493808E-09	
Ru-100		6.0491400E-09	
Ru-101		3.0875464E-09	
Ru-102		1.0348808E-08	
Ru-103		9.5202587E-99	
Ru-104		2.8109810E-09	
Ru-105		1.4906940E-99	
Ru-106		3.4703664E-60	
Rh-98		1.4906940E-99	
Rh-99		1.4906940E-99	
Rh-100		1.4906940E-99	
Rh-101		1.4906940E-99	
Rh-102		1.4906940E-99	
Rh-103		3.4474280E-09	
Rh-104		1.4906940E-99	
Rh-105		1.4906940E-99	
Rh-106		1.4906940E-99	
Rh-107		1.4906940E-99	
Rh-108		1.4906940E-99	
Pd-99		1.4906940E-99	
Pd-100		1.4906940E-99	
Pd-101		1.4906940E-99	
Pd-102		9.1731487E-11	
Pd-103		1.4906940E-99	
Pd-104		4.3467296E-09	
