H Table: (M=1.65,Z=0.0001)
#H Lifetime: 1.233E+09
#H Mfinal: 6.182E-01
Isotopes Yields    X0        Z A  
H-1      7.133E-01 7.514E-01 1 1  
Os-184   6.983E-16 7.115E-16 76184
Os-186   4.498E-13 5.783E-14 76186
Os-187   1.690E-13 6.004E-14 76187
Os-188   1.504E-12 4.878E-13 76188
Os-189   8.040E-13 5.979E-13 76189
Os-190   2.059E-12 9.775E-13 76190
Os-192   2.159E-12 1.534E-12 76192
Ir-191   1.529E-12 1.359E-12 77191
Ir-193   2.559E-12 2.310E-12 77193
Pt-190   9.907E-16 1.009E-15 78190
Pt-192   2.869E-13 5.855E-14 78192
Pt-194   3.394E-12 2.492E-12 78194
Pt-195   2.901E-12 2.571E-12 78195
Pt-196   3.576E-12 1.928E-12 78196
Pt-198   6.854E-13 5.527E-13 78198
Au-197   1.571E-12 1.084E-12 79197
Hg-196   2.957E-15 3.012E-15 80196
Hg-198   1.695E-12 1.977E-13 80198
Hg-199   1.045E-12 3.363E-13 80199
Hg-200   2.817E-12 4.626E-13 80200
Hg-201   1.286E-12 2.653E-13 80201
Hg-202   4.733E-12 6.042E-13 80202
Hg-204   3.089E-13 1.403E-13 80204
Tl-203   2.253E-12 3.224E-13 81203
Tl-205   3.873E-12 7.771E-13 81205
Pb-204   2.741E-12 2.934E-13 82204
Pb-208   3.921E-10 8.858E-12 82208
Bi-209   1.211E-11 8.726E-13 83209
