H Table: (M=25.0,Z=0.01)
#H Lifetime: 7.854E+06
#H Mfinal: 6.050E+00
 Isotopes  Yields     X0         Z  A  
 W-180     5.914E-11  4.197E-13  74 180
 W-182     2.618E-09  9.387E-11  74 182
 W-183     1.267E-09  5.099E-11  74 183
 W-184     2.657E-09  1.097E-10  74 184
 W-186     1.986E-09  1.029E-10  74 186
 Re-185    1.246E-09  5.239E-11  75 185
 Re-187    1.671E-09  8.865E-11  75 187
 Os-184    6.983E-11  3.554E-13  76 184
 Os-186    6.282E-10  2.889E-11  76 186
 Os-187    4.230E-10  2.999E-11  76 187
 Os-188    4.546E-09  2.437E-10  76 188
 Os-189    4.918E-09  2.987E-10  76 189
 Os-190    8.160E-09  4.883E-10  76 190
 Os-192    1.248E-08  7.664E-10  76 192
 Ir-191    1.091E-08  6.787E-10  77 191
 Ir-193    1.851E-08  1.154E-09  77 193
 Pt-190    3.369E-11  5.042E-13  78 190
 Pt-192    6.641E-10  2.925E-11  78 192
 Pt-194    2.047E-08  1.245E-09  78 194
 Pt-195    2.070E-08  1.284E-09  78 195
 Pt-196    1.651E-08  9.630E-10  78 196
 Pt-198    5.058E-09  2.761E-10  78 198
 Au-197    9.247E-09  5.417E-10  79 197
 Hg-196    1.610E-10  1.505E-12  80 196
 Hg-198    2.050E-09  9.875E-11  80 198
 Hg-199    3.509E-09  1.680E-10  80 199
 Hg-200    5.391E-09  2.311E-10  80 200
 Hg-201    3.012E-09  1.326E-10  80 201
 Hg-202    7.829E-09  3.018E-10  80 202
 Hg-204    7.112E-09  7.007E-11  80 204
 Tl-203    4.255E-09  1.610E-10  81 203
 Tl-205    7.999E-09  3.882E-10  81 205
 Pb-204    3.448E-09  1.466E-10  82 204
 Pb-208    9.770E-08  4.425E-09  82 208
 Bi-209    8.771E-09  4.359E-10  83 209
