H Table: (M=5.0,Z=0.01)
#H Lifetime: 1.082E+08
#H Mfinal: 9.101E-01
 Isotopes  Yields     X0         Z  A  
 Gd-160    6.957E-10  1.671E-10  64 160
 Tb-159    5.699E-10  1.382E-10  65 159
 Dy-156    2.007E-12  5.018E-13  66 156
 Dy-158    3.495E-12  8.713E-13  66 158
 Dy-160    1.130E-10  2.151E-11  66 160
 Dy-161    7.136E-10  1.749E-10  66 161
 Dy-162    1.017E-09  2.374E-10  66 162
 Dy-163    9.542E-10  2.332E-10  66 163
 Dy-164    1.157E-09  2.656E-10  66 164
 Ho-165    1.747E-09  4.244E-10  67 165
 Er-162    3.215E-12  8.044E-13  68 162
 Er-164    4.940E-11  9.564E-12  68 164
 Er-166    8.561E-10  2.022E-10  68 166
 Er-167    5.747E-10  1.388E-10  68 167
 Er-168    7.287E-10  1.631E-10  68 168
 Er-170    4.132E-10  9.199E-11  68 170
 Tm-169    3.869E-10  9.271E-11  69 169
 Yb-168    3.174E-12  7.916E-13  70 168
 Yb-170    9.540E-11  1.873E-11  70 170
 Yb-171    3.864E-10  8.851E-11  70 171
 Yb-172    6.119E-10  1.361E-10  70 172
 Yb-173    4.389E-10  1.011E-10  70 173
 Yb-174    9.459E-10  2.007E-10  70 174
 Yb-176    3.745E-10  8.140E-11  70 176
 Lu-175    3.865E-10  9.139E-11  71 175
 Lu-176    1.064E-10  2.262E-11  71 176
 Hf-174    2.473E-12  6.156E-13  72 174
 Hf-176    8.692E-11  2.018E-11  72 176
 Hf-177    3.062E-10  7.189E-11  72 177
 Hf-178    5.034E-10  1.061E-10  72 178
 Hf-179    2.408E-10  5.326E-11  72 179
 Hf-180    6.945E-10  1.384E-10  72 180
 Ta-180    4.896E-14  1.215E-14  73 180
 Ta-181    4.283E-10  9.928E-11  73 181
 W-180     1.718E-12  4.197E-13  74 180
 W-182     4.394E-10  9.387E-11  74 182
 W-183     2.424E-10  5.099E-11  74 183
 W-184     5.319E-10  1.097E-10  74 184
 W-186     4.656E-10  1.029E-10  74 186
 Re-185    2.333E-10  5.239E-11  75 185
 Re-187    3.707E-10  8.865E-11  75 187
 Os-184    1.432E-12  3.554E-13  76 184
 Os-186    1.441E-10  2.889E-11  76 186
 Os-187    1.262E-10  2.999E-11  76 187
 Os-188    1.063E-09  2.437E-10  76 188
 Os-189    1.214E-09  2.987E-10  76 189
 Os-190    2.074E-09  4.883E-10  76 190
 Os-192    3.164E-09  7.664E-10  76 192
 Ir-191    2.734E-09  6.787E-10  77 191
 Ir-193    4.664E-09  1.154E-09  77 193
 Pt-190    2.034E-12  5.042E-13  78 190
 Pt-192    1.699E-10  2.925E-11  78 192
 Pt-194    5.173E-09  1.245E-09  78 194
 Pt-195    5.220E-09  1.284E-09  78 195
 Pt-196    4.099E-09  9.630E-10  78 196
 Pt-198    1.141E-09  2.761E-10  78 198
 Au-197    2.235E-09  5.417E-10  79 197
 Hg-196    6.092E-12  1.505E-12  80 196
 Hg-198    5.353E-10  9.875E-11  80 198
 Hg-199    7.398E-10  1.680E-10  80 199
 Hg-200    1.119E-09  2.311E-10  80 200
 Hg-201    6.169E-10  1.326E-10  80 201
 Hg-202    1.526E-09  3.018E-10  80 202
 Hg-204    3.087E-10  7.007E-11  80 204
 Tl-203    8.019E-10  1.610E-10  81 203
 Tl-205    1.796E-09  3.882E-10  81 205
 Pb-204    7.780E-10  1.466E-10  82 204
 Pb-208    2.604E-08  4.425E-09  82 208
 Bi-209    2.132E-09  4.359E-10  83 209
