H Table: (M=1.65,Z=0.006)
H Lifetime: 1.644E+09
H Mfinal: 6.140E-01
&Isotopes &Yields    &X0        &Z &A  
&H-1      &7.341E-01 &7.380E-01 &1 &1  
&Nd-143   &3.493E-11 &2.693E-11 &60&143
&Nd-144   &7.851E-11 &5.300E-11 &60&144
&Nd-145   &2.351E-11 &1.859E-11 &60&145
&Nd-146   &6.165E-11 &3.872E-11 &60&146
&Nd-148   &1.701E-11 &1.312E-11 &60&148
&Nd-150   &1.331E-11 &1.302E-11 &60&150
&Sm-144   &2.257E-12 &2.212E-12 &62&144
&Sm-147   &1.386E-11 &1.102E-11 &62&147
&Sm-148   &1.299E-11 &8.315E-12 &62&148
&Sm-149   &1.150E-11 &1.029E-11 &62&149
&Sm-150   &1.014E-11 &5.533E-12 &62&150
&Sm-152   &2.469E-11 &2.032E-11 &62&152
&Sm-154   &1.929E-11 &1.751E-11 &62&154
&Eu-151   &1.313E-11 &1.223E-11 &63&151
&Eu-153   &1.456E-11 &1.352E-11 &63&153
&Gd-152   &2.243E-13 &1.770E-13 &64&152
&Gd-154   &3.468E-12 &1.927E-12 &64&154
&Gd-155   &1.438E-11 &1.316E-11 &64&155
&Gd-156   &2.196E-11 &1.832E-11 &64&156
&Gd-157   &1.589E-11 &1.410E-11 &64&157
&Gd-158   &2.889E-11 &2.252E-11 &64&158
&Gd-160   &2.140E-11 &2.008E-11 &64&160
&Tb-159   &1.824E-11 &1.660E-11 &65&159
&Dy-156   &6.146E-14 &6.027E-14 &66&156
&Dy-158   &1.068E-13 &1.047E-13 &66&158
&Dy-160   &4.559E-12 &2.583E-12 &66&160
&Dy-161   &2.251E-11 &2.101E-11 &66&161
&Dy-162   &3.345E-11 &2.851E-11 &66&162
&Dy-163   &3.001E-11 &2.800E-11 &66&163
&Dy-164   &3.944E-11 &3.190E-11 &66&164
&Ho-165   &5.551E-11 &5.097E-11 &67&165
&Er-162   &9.852E-14 &9.662E-14 &68&162
&Er-164   &1.848E-12 &1.149E-12 &68&164
&Er-166   &2.755E-11 &2.429E-11 &68&166
&Er-167   &1.839E-11 &1.667E-11 &68&167
&Er-168   &2.573E-11 &1.959E-11 &68&168
&Er-170   &1.422E-11 &1.105E-11 &68&170
&Tm-169   &1.261E-11 &1.114E-11 &69&169
&Yb-168   &9.695E-14 &9.508E-14 &70&168
&Yb-170   &3.780E-12 &2.250E-12 &70&170
&Yb-171   &1.344E-11 &1.063E-11 &70&171
&Yb-172   &2.248E-11 &1.635E-11 &70&172
&Yb-173   &1.528E-11 &1.215E-11 &70&173
&Yb-174   &3.803E-11 &2.411E-11 &70&174
&Yb-176   &1.514E-11 &9.777E-12 &70&176
&Lu-175   &1.310E-11 &1.098E-11 &71&175
&Lu-176   &4.182E-12 &2.717E-12 &71&176
&Hf-174   &7.540E-14 &7.394E-14 &72&174
&Hf-176   &3.024E-12 &2.424E-12 &72&176
&Hf-177   &1.052E-11 &8.635E-12 &72&177
&Hf-178   &2.044E-11 &1.274E-11 &72&178
&Hf-179   &9.139E-12 &6.396E-12 &72&179
&Hf-180   &3.168E-11 &1.662E-11 &72&180
&Ta-180   &1.493E-15 &1.459E-15 &73&180
&Ta-181   &1.524E-11 &1.192E-11 &73&181
&W-180    &5.184E-14 &5.041E-14 &74&180
&W-182    &1.771E-11 &1.128E-11 &74&182
&W-183    &1.025E-11 &6.124E-12 &74&183
&W-184    &2.392E-11 &1.318E-11 &74&184
&W-186    &1.767E-11 &1.236E-11 &74&186
&Re-185   &8.939E-12 &6.293E-12 &75&185
&Re-187   &1.203E-11 &1.065E-11 &75&187
&Os-184   &4.353E-14 &4.269E-14 &76&184
&Os-186   &6.916E-12 &3.470E-12 &76&186
&Os-187   &4.743E-12 &3.602E-12 &76&187
&Os-188   &3.829E-11 &2.927E-11 &76&188
&Os-189   &3.838E-11 &3.587E-11 &76&189
&Os-190   &6.887E-11 &5.865E-11 &76&190
