Ejected yields in solar masses from Battino et al. 2019, MNRAS (models listed in Table 2)

Isotope	 m2z1m2	 m3z1m2	 m2z2m2	 m3z2m2	 m2z3m2	 m3z3m2	 m3z2m2-hCBM	 m3z3m2-hCBM
Mo-96	1.6851324E-09	2.6096411E-09	2.3397508E-09	1.2230788E-08	1.7836677E-09	1.1379558E-08	1.4400991E-08	1.9496070E-08
Mo-97	7.0947278E-10	1.0468372E-09	1.0782995E-09	4.6385340E-09	8.7974402E-10	4.3526812E-09	5.3326076E-09	7.2429776E-09
Mo-98	2.1439511E-09	2.9464927E-09	3.1089967E-09	1.4211083E-08	2.4322937E-09	1.3539744E-08	1.6686754E-08	2.2995301E-08
Mo-99	1.0561106E-99	1.8386687E-79	1.0148024E-99	2.2730643E-99	6.6732552E-100	6.6749124E-97	1.8179409E-62	2.0946096E-99
Mo-100	4.3612988E-10	5.7924048E-10	8.0006836E-10	2.4733627E-09	7.3627774E-10	2.2069445E-09	2.5821768E-09	3.2202991E-09
Mo-101	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Mo-102	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Tc-93	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Tc-94	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Tc-95	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Tc-96	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Tc-97	2.0189211E-14	8.5655514E-15	5.3489447E-14	9.0495922E-14	5.5410858E-14	1.7758379E-13	9.5504659E-14	2.9368206E-13
Tc-98	8.4807013E-15	3.1153572E-15	2.3582111E-14	3.1906703E-14	2.2398941E-14	5.9586168E-14	3.2004926E-14	9.5843605E-14
Tc-99	1.6386847E-10	2.2903498E-10	1.7316336E-10	1.3656502E-09	9.2855855E-11	1.2859928E-09	1.7009813E-09	2.3205364E-09
Tc-100	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Tc-101	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Tc-102	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Tc-103	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Tc-104	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Tc-105	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ru-94	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ru-95	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ru-96	1.5154864E-10	1.9090145E-10	3.0171309E-10	6.5302394E-10	2.8833673E-10	6.3329944E-10	6.3774656E-10	8.8470482E-10
Ru-97	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ru-98	5.2287479E-11	6.5787299E-11	1.0413411E-10	2.2551443E-10	9.9534983E-11	2.1914229E-10	2.2027659E-10	3.0641131E-10
Ru-99	3.6423271E-10	4.6080780E-10	7.2104868E-10	1.5947984E-09	6.8736542E-10	1.5493808E-09	1.5718600E-09	2.1849380E-09
Ru-100	9.4271198E-10	1.2622626E-09	1.3299347E-09	6.3088727E-09	1.0143438E-09	6.0491400E-09	7.4960068E-09	1.0405707E-08
Ru-101	6.2221760E-10	8.0279763E-10	1.1144587E-09	3.2213827E-09	1.0072251E-09	3.0875464E-09	3.4487664E-09	4.7451485E-09
Ru-102	1.7491305E-09	2.3436067E-09	2.6996567E-09	1.0936897E-08	2.2100992E-09	1.0348808E-08	1.2595500E-08	1.7165381E-08
Ru-103	1.0561106E-99	1.2841517E-85	1.0148024E-99	2.2730642E-99	6.6732552E-100	9.5202587E-99	6.9348779E-71	2.0946096E-99
Ru-104	6.0307959E-10	7.7671930E-10	1.1490569E-09	3.0342872E-09	1.0751859E-09	2.8109810E-09	3.0931497E-09	4.0513334E-09
Ru-105	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2451104E-99	2.0946096E-99
Ru-106	1.0561106E-99	6.7089569E-42	1.0148024E-99	2.3721704E-30	6.6732552E-100	3.4703664E-60	6.1947957E-50	2.0946096E-99
Rh-98	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rh-99	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rh-100	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rh-101	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rh-102	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rh-103	6.9505123E-10	8.9952804E-10	1.2437123E-09	3.6077041E-09	1.1220102E-09	3.4474280E-09	3.8647209E-09	5.2940802E-09
Rh-104	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rh-105	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	3.6792457E-99	2.0946096E-99
Rh-106	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rh-107	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rh-108	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Pd-99	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Pd-100	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Pd-101	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Pd-102	2.1960704E-11	2.7670288E-11	4.3716481E-11	9.4625093E-11	4.1776752E-11	9.1731487E-11	9.2408335E-11	1.2812634E-10
Pd-103	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Pd-104	6.7500792E-10	9.3157643E-10	9.4038166E-10	4.6012396E-09	7.0665791E-10	4.3467296E-09	5.4810817E-09	7.4789443E-09
Pd-105	6.1137406E-10	7.9382195E-10	1.1071913E-09	3.1237246E-09	1.0061250E-09	2.9797235E-09	3.3193181E-09	4.5363073E-09
Pd-106	1.1398049E-09	1.5500077E-09	1.7741516E-09	7.1005637E-09	1.4577941E-09	6.6630835E-09	8.1466345E-09	1.0990092E-08
Pd-107	1.0372787E-10	1.5309417E-10	1.0923969E-10	8.7357090E-10	5.7775070E-11	8.0413300E-10	1.0908967E-09	1.4537991E-09
Pd-108	1.2728533E-09	1.7472515E-09	1.9069126E-09	8.1943615E-09	1.5185878E-09	7.6647692E-09	9.5336565E-09	1.2826316E-08
Pd-109	1.0561106E-99	1.3277743E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4911025E-99	3.1234951E-87	2.0946096E-99
Pd-110	3.3327875E-10	4.5503270E-10	6.0187322E-10	1.9758865E-09	5.4761038E-10	1.7421798E-09	2.0876169E-09	2.6007675E-09
Pd-111	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Pd-112	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ag-101	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ag-102	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ag-103	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ag-104	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ag-105	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ag-106	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ag-107	4.0593534E-10	5.1152218E-10	8.0801773E-10	1.7492218E-09	7.7214449E-10	1.6954980E-09	1.7082826E-09	2.3681892E-09
Ag-108	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ag-109	5.7861655E-10	7.7103263E-10	9.7025596E-10	3.2790657E-09	8.3876159E-10	3.0974845E-09	3.6468338E-09	4.9410430E-09
Ag-110	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ag-111	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ag-112	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ag-113	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cd-102	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cd-103	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cd-104	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cd-105	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cd-106	3.2862590E-11	4.1403903E-11	6.5420491E-11	1.4159964E-10	6.2518391E-11	1.3728317E-10	1.3828349E-10	1.9175759E-10
Cd-107	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cd-108	2.4541107E-11	3.0265576E-11	4.8812737E-11	1.0592535E-10	4.6518396E-11	1.0513862E-10	1.0427123E-10	1.4895252E-10
Cd-109	1.0561106E-99	5.3442577E-32	1.0148024E-99	1.1881626E-29	6.6732552E-100	2.9652377E-32	8.5022810E-32	1.5235500E-38
Cd-110	8.8813742E-10	1.2312357E-09	1.2562456E-09	5.8967525E-09	9.5112040E-10	5.5344000E-09	7.0056886E-09	9.4659445E-09
Cd-111	5.4457366E-10	7.2981112E-10	9.0300135E-10	3.1296649E-09	7.7539580E-10	2.9383335E-09	3.4979684E-09	4.7072346E-09
Cd-112	1.4148726E-09	1.9506986E-09	2.1164293E-09	9.1088494E-09	1.6799347E-09	8.4377331E-09	1.0605422E-08	1.4091001E-08
Cd-113	5.6053092E-10	7.5478020E-10	9.1034115E-10	3.2908270E-09	7.6952742E-10	3.0744702E-09	3.7144207E-09	4.9682268E-09
Cd-114	1.9211729E-09	2.6707876E-09	2.7751523E-09	1.2720417E-08	2.1361991E-09	1.1661157E-08	1.4973501E-08	1.9656933E-08
Cd-115	1.0561106E-99	6.2371938E-43	1.0148024E-99	1.5397042E-95	6.6732552E-100	7.0078755E-50	2.1729140E-41	2.0946096E-99
Cd-116	3.3963171E-10	5.3823177E-10	5.4485377E-10	2.6929886E-09	4.6483179E-10	2.1029871E-09	2.9485875E-09	3.1441922E-09
Cd-117	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448564E-99	2.0946096E-99
Cd-118	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
In-106	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
In-107	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
In-108	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
In-109	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
In-110	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
In-111	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
In-112	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
In-113	1.3493544E-11	1.6993441E-11	2.6866649E-11	5.8148294E-11	2.5676262E-11	5.6413736E-11	5.6791051E-11	7.8821327E-11
In-114	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
In-115	5.2950757E-10	7.1331480E-10	8.4279225E-10	3.1916400E-09	7.0089590E-10	2.9466720E-09	3.6293375E-09	4.7804069E-09
In-116	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
In-117	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
In-118	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
In-119	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sn-108	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sn-109	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sn-110	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sn-111	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sn-112	6.3248167E-11	7.9672274E-11	1.2591844E-10	2.7253706E-10	1.2033581E-10	2.6430280E-10	2.6616077E-10	3.6922386E-10
Sn-113	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sn-114	4.3860639E-11	5.5144893E-11	8.7363516E-11	1.8923605E-10	8.3508099E-11	1.8409718E-10	1.8487846E-10	2.5762240E-10
Sn-115	2.2759075E-11	2.8620697E-11	4.5326799E-11	9.8213429E-11	4.3324988E-11	9.5523754E-11	9.5951855E-11	1.3367367E-10
Sn-116	2.3970055E-09	3.3283491E-09	3.4207085E-09	1.5564578E-08	2.6020423E-09	1.4270128E-08	1.8450483E-08	2.4204646E-08
Sn-117	9.8776572E-10	1.3671236E-09	1.5185062E-09	6.1384991E-09	1.2315651E-09	5.5705222E-09	7.0694868E-09	9.1338706E-09
Sn-118	3.9364723E-09	5.6189771E-09	5.6145801E-09	2.6184130E-08	4.2786972E-09	2.3106193E-08	3.0857161E-08	3.8615978E-08
Sn-119	1.2822283E-09	1.8150922E-09	1.8775428E-09	8.2991319E-09	1.4638291E-09	7.3274760E-09	9.7057764E-09	1.2130089E-08
Sn-120	5.8356956E-09	8.5256400E-09	8.0512822E-09	3.9625251E-08	5.9441120E-09	3.3621607E-08	4.7051655E-08	5.6114661E-08
Sn-121	1.0561106E-99	7.9999179E-93	1.0148024E-99	2.2730643E-99	6.6732552E-100	6.8682862E-98	8.3027130E-74	2.0946096E-99
Sn-122	6.4568372E-10	1.0921820E-09	9.3524434E-10	5.6382562E-09	7.4137907E-10	3.9142296E-09	6.2838131E-09	5.7394956E-09
Sn-123	1.0561106E-99	7.7293128E-49	1.0148024E-99	2.2730642E-99	6.6732552E-100	5.2826990E-87	1.0893670E-44	2.0946096E-99
Sn-124	4.2284988E-10	5.3870470E-10	8.4022633E-10	1.8761695E-09	8.0259365E-10	1.7994996E-09	1.8327161E-09	2.5177186E-09
Sn-125	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sn-126	1.8216501E-15	1.8494258E-14	2.6299190E-15	9.4751657E-14	1.9105423E-15	3.6135170E-14	7.4170315E-14	4.2192905E-14
Sn-127	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sn-128	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sn-129	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sn-130	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-112	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-113	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-114	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-115	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-116	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-117	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-118	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-119	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-120	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-121	6.1052553E-10	8.5250973E-10	9.3162048E-10	3.8194860E-09	7.5004681E-10	3.2934242E-09	4.3935192E-09	5.2993401E-09
Sb-122	1.0561106E-99	1.4611447E-79	1.0148024E-99	2.2730643E-99	6.6732552E-100	7.1425347E-98	4.6168207E-63	2.0946096E-99
Sb-123	3.0519696E-10	4.1665149E-10	5.4795159E-10	1.7278924E-09	4.9567219E-10	1.4754772E-09	1.8244445E-09	2.1562570E-09
Sb-124	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-125	1.2027634E-28	1.7025905E-22	8.2731278E-27	2.5256338E-22	1.6258120E-27	1.4623332E-23	5.8041105E-23	5.1450470E-24
Sb-126	6.8669893E-22	6.6658916E-21	9.9295521E-22	3.5182446E-20	7.2216324E-22	1.3484597E-20	2.7366399E-20	1.5828672E-20
Sb-127	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-128	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-129	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-130	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-131	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-132	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sb-133	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Te-114	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Te-115	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Te-116	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Te-117	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Te-118	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Te-119	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Te-120	8.4306543E-12	1.0623191E-11	1.6782015E-11	3.6326577E-11	1.6037209E-11	3.5212212E-11	3.5475317E-11	4.9181446E-11
Te-121	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Te-122	6.6108051E-10	9.8383247E-10	8.8475555E-10	4.5342472E-09	6.3487357E-10	3.8246870E-09	5.4362277E-09	6.4485075E-09
Te-123	2.2940289E-10	3.4257222E-10	3.0830784E-10	1.5479926E-09	2.2188828E-10	1.3126080E-09	1.8576700E-09	2.2168962E-09
Te-124	1.3078044E-09	1.9620477E-09	1.7282787E-09	9.0511125E-09	1.2159614E-09	7.5200095E-09	1.0863496E-08	1.2674882E-08
Te-125	9.4294341E-10	1.2879372E-09	1.5858444E-09	5.1717294E-09	1.3701239E-09	4.6062663E-09	5.7217526E-09	7.1575184E-09
Te-126	3.4343786E-09	4.8464676E-09	5.1301126E-09	2.1061440E-08	4.0491787E-09	1.7950812E-08	2.4489001E-08	2.9195326E-08
Te-127	1.0561106E-99	1.3272742E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906986E-99	1.7089598E-88	2.0946096E-99
Te-128	3.1580962E-09	4.0642597E-09	6.1029488E-09	1.4699080E-08	5.7420424E-09	1.3692411E-08	1.4758664E-08	1.9492824E-08
Te-129	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Te-130	3.2487729E-09	4.0968576E-09	6.4661490E-09	1.4099194E-08	6.1808033E-09	1.3727317E-08	1.3775346E-08	1.9235352E-08
Te-131	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Te-132	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Te-133	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Te-134	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
I-117	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
I-118	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
I-119	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
I-120	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
I-121	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
I-122	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
I-123	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
I-124	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
I-125	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
I-126	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
