H Table: (M=7.0,Z=0.02)
 #H Lifetime: 5.211E+07
 #H Mfinal: 1.066E+00
 Isotopes  Yields     X0         Z  A  
 Sm-147    1.061E-09  1.834E-10  62 147
 Sm-148    8.636E-10  1.385E-10  62 148
 Sm-149    9.753E-10  1.714E-10  62 149
 Sm-150    5.984E-10  9.213E-11  62 150
 Sm-152    1.982E-09  3.383E-10  62 152
 Sm-154    1.710E-09  2.916E-10  62 154
 Eu-151    1.148E-09  2.036E-10  63 151
 Eu-153    1.293E-09  2.252E-10  63 153
 Gd-152    5.382E-11  2.947E-12  64 152
 Gd-154    2.612E-10  3.210E-11  64 154
 Gd-155    1.264E-09  2.192E-10  64 155
 Gd-156    1.857E-09  3.051E-10  64 156
 Gd-157    1.374E-09  2.348E-10  64 157
 Gd-158    2.295E-09  3.750E-10  64 158
 Gd-160    1.961E-09  3.343E-10  64 160
 Tb-159    1.593E-09  2.765E-10  65 159
 Dy-156    5.667E-12  1.004E-12  66 156
 Dy-158    9.898E-12  1.743E-12  66 158
 Dy-160    3.144E-10  4.301E-11  66 160
 Dy-161    2.000E-09  3.498E-10  66 161
 Dy-162    2.874E-09  4.748E-10  66 162
 Dy-163    2.682E-09  4.663E-10  66 163
 Dy-164    3.241E-09  5.312E-10  66 164
 Ho-165    4.918E-09  8.488E-10  67 165
 Er-162    9.076E-12  1.609E-12  68 162
 Er-164    1.368E-10  1.913E-11  68 164
 Er-166    2.450E-09  4.044E-10  68 166
 Er-167    1.617E-09  2.776E-10  68 167
 Er-168    2.026E-09  3.263E-10  68 168
 Er-170    1.086E-09  1.840E-10  68 170
 Tm-169    1.078E-09  1.854E-10  69 169
 Yb-168    8.992E-12  1.583E-12  70 168
 Yb-170    2.724E-10  3.746E-11  70 170
 Yb-171    1.041E-09  1.770E-10  70 171
 Yb-172    1.653E-09  2.722E-10  70 172
 Yb-173    1.190E-09  2.023E-10  70 173
 Yb-174    2.440E-09  4.015E-10  70 174
 Yb-176    9.911E-10  1.628E-10  70 176
 Lu-175    1.055E-09  1.828E-10  71 175
 Lu-176    2.834E-10  4.524E-11  71 176
 Hf-174    7.024E-12  1.231E-12  72 174
 Hf-176    2.510E-10  4.036E-11  72 176
 Hf-177    8.310E-10  1.438E-10  72 177
 Hf-178    1.300E-09  2.121E-10  72 178
 Hf-179    6.328E-10  1.065E-10  72 179
 Hf-180    1.690E-09  2.767E-10  72 180
 Ta-180    1.379E-13  2.429E-14  73 180
 Ta-181    1.147E-09  1.986E-10  73 181
 W-180     4.840E-12  8.395E-13  74 180
 W-182     1.153E-09  1.877E-10  74 182
 W-183     6.132E-10  1.020E-10  74 183
 W-184     1.323E-09  2.195E-10  74 184
 W-186     1.217E-09  2.058E-10  74 186
 Re-185    6.105E-10  1.048E-10  75 185
 Re-187    1.008E-09  1.773E-10  75 187
 Os-184    4.090E-12  7.108E-13  76 184
 Os-186    3.680E-10  5.778E-11  76 186
 Os-187    3.566E-10  5.998E-11  76 187
 Os-188    2.921E-09  4.874E-10  76 188
 Os-189    3.404E-09  5.974E-10  76 189
 Os-190    5.879E-09  9.766E-10  76 190
 Os-192    9.017E-09  1.533E-09  76 192
 Ir-191    7.717E-09  1.357E-09  77 191
 Ir-193    1.325E-08  2.308E-09  77 193
 Pt-190    5.823E-12  1.008E-12  78 190
 Pt-192    6.308E-10  5.850E-11  78 192
 Pt-194    1.502E-08  2.490E-09  78 194
 Pt-195    1.495E-08  2.568E-09  78 195
 Pt-196    1.193E-08  1.926E-09  78 196
 Pt-198    3.254E-09  5.522E-10  78 198
 Au-197    6.358E-09  1.083E-09  79 197
 Hg-196    1.759E-11  3.009E-12  80 196
 Hg-198    1.430E-09  1.975E-10  80 198
 Hg-199    2.012E-09  3.360E-10  80 199
 Hg-200    2.821E-09  4.622E-10  80 200
 Hg-201    1.583E-09  2.651E-10  80 201
 Hg-202    3.662E-09  6.036E-10  80 202
 Hg-204    8.351E-10  1.401E-10  80 204
 Tl-203    1.938E-09  3.221E-10  81 203
 Tl-205    4.649E-09  7.764E-10  81 205
 Pb-204    1.783E-09  2.931E-10  82 204
 Pb-208    5.291E-08  8.850E-09  82 208
 Bi-209    5.187E-09  8.718E-10  83 209
