H Table: (M=2.0, Z=0.02)

Isotopes	Yields	 
Mo-102		1.0148024E-99	
Tc-93		1.0148024E-99	
Tc-94		1.0148024E-99	
Tc-95		1.0148024E-99	
Tc-96		1.0148024E-99	
Tc-97		5.3489447E-14	
Tc-98		2.3582111E-14	
Tc-99		1.7316336E-10	
Tc-100		1.0148024E-99	
Tc-101		1.0148024E-99	
Tc-102		1.0148024E-99	
Tc-103		1.0148024E-99	
Tc-104		1.0148024E-99	
Tc-105		1.0148024E-99	
Ru-94		1.0148024E-99	
Ru-95		1.0148024E-99	
Ru-96		3.0171309E-10	
Ru-97		1.0148024E-99	
Ru-98		1.0413411E-10	
Ru-99		7.2104868E-10	
Ru-100		1.3299347E-09	
Ru-101		1.1144587E-09	
Ru-102		2.6996567E-09	
Ru-103		1.0148024E-99	
Ru-104		1.1490569E-09	
Ru-105		1.0148024E-99	
Ru-106		1.0148024E-99	
Rh-98		1.0148024E-99	
Rh-99		1.0148024E-99	
Rh-100		1.0148024E-99	
Rh-101		1.0148024E-99	
Rh-102		1.0148024E-99	
Rh-103		1.2437123E-09	
Rh-104		1.0148024E-99	
Rh-105		1.0148024E-99	
Rh-106		1.0148024E-99	
Rh-107		1.0148024E-99	
Rh-108		1.0148024E-99	
Pd-99		1.0148024E-99	
Pd-100		1.0148024E-99	
Pd-101		1.0148024E-99	
Pd-102		4.3716481E-11	
Pd-103		1.0148024E-99	
Pd-104		9.4038166E-10	
Pd-105		1.1071913E-09	
Pd-106		1.7741516E-09	
Pd-107		1.0923969E-10	
Pd-108		1.9069126E-09	
Pd-109		1.0148024E-99	
Pd-110		6.0187322E-10	
Pd-111		1.0148024E-99	
Pd-112		1.0148024E-99	
Ag-101		1.0148024E-99	
Ag-102		1.0148024E-99	
Ag-103		1.0148024E-99	
Ag-104		1.0148024E-99	
Ag-105		1.0148024E-99	
Ag-106		1.0148024E-99	
Ag-107		8.0801773E-10	
Ag-108		1.0148024E-99	
Ag-109		9.7025596E-10	
Ag-110		1.0148024E-99	
Ag-111		1.0148024E-99	
Ag-112		1.0148024E-99	
Ag-113		1.0148024E-99	
Cd-102		1.0148024E-99	
Cd-103		1.0148024E-99	
Cd-104		1.0148024E-99	
Cd-105		1.0148024E-99	
Cd-106		6.5420491E-11	
Cd-107		1.0148024E-99	
Cd-108		4.8812737E-11	
Cd-109		1.0148024E-99	
Cd-110		1.2562456E-09	
Cd-111		9.0300135E-10	
Cd-112		2.1164293E-09	
Cd-113		9.1034115E-10	
Cd-114		2.7751523E-09	
Cd-115		1.0148024E-99	
Cd-116		5.4485377E-10	
Cd-117		1.0148024E-99	
Cd-118		1.0148024E-99	
In-106		1.0148024E-99	
In-107		1.0148024E-99	
In-108		1.0148024E-99	
In-109		1.0148024E-99	
In-110		1.0148024E-99	
In-111		1.0148024E-99	
In-112		1.0148024E-99	
In-113		2.6866649E-11	
In-114		1.0148024E-99	
In-115		8.4279225E-10	
In-116		1.0148024E-99	
In-117		1.0148024E-99	
In-118		1.0148024E-99	
In-119		1.0148024E-99	
Sn-108		1.0148024E-99	
Sn-109		1.0148024E-99	
Sn-110		1.0148024E-99	
Sn-111		1.0148024E-99	
Sn-112		1.2591844E-10	
Sn-113		1.0148024E-99	
Sn-114		8.7363516E-11	
Sn-115		4.5326799E-11	
Sn-116		3.4207085E-09	
Sn-117		1.5185062E-09	
Sn-118		5.6145801E-09	
Sn-119		1.8775428E-09	
Sn-120		8.0512822E-09	
Sn-121		1.0148024E-99	
Sn-122		9.3524434E-10	
Sn-123		1.0148024E-99	
Sn-124		8.4022633E-10	
Sn-125		1.0148024E-99	
Sn-126		2.6299190E-15	
Sn-127		1.0148024E-99	
Sn-128		1.0148024E-99	
Sn-129		1.0148024E-99	
Sn-130		1.0148024E-99	
Sb-112		1.0148024E-99	
Sb-113		1.0148024E-99	
Sb-114		1.0148024E-99	
Sb-115		1.0148024E-99	
Sb-116		1.0148024E-99	
Sb-117		1.0148024E-99	
Sb-118		1.0148024E-99	
Sb-119		1.0148024E-99	
Sb-120		1.0148024E-99	
Sb-121		9.3162048E-10	
Sb-122		1.0148024E-99	
Sb-123		5.4795159E-10	
Sb-124		1.0148024E-99	
Sb-125		8.2731278E-27	
Sb-126		9.9295521E-22	
Sb-127		1.0148024E-99	
Sb-128		1.0148024E-99	
Sb-129		1.0148024E-99	
Sb-130		1.0148024E-99	
Sb-131		1.0148024E-99	
Sb-132		1.0148024E-99	
Sb-133		1.0148024E-99	
Te-114		1.0148024E-99	
Te-115		1.0148024E-99	
Te-116		1.0148024E-99	
Te-117		1.0148024E-99	
Te-118		1.0148024E-99	
Te-119		1.0148024E-99	
Te-120		1.6782015E-11	
